License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
December 18 2015,S107948,Zen,Cat,Domestic Longhair,Mix,98117
June 14 2016,S116503,Misty,Cat,Siberian,,98117
June 16 2016,S116742,Frankie Lee Jones,Cat,Domestic Shorthair,,
August 04 2016,S119301,Lyra,Cat,Mix,,98121
June 06 2017,208553,Puck,Cat,Russian Blue,,98107
September 22 2017,730786,Pepper,Cat,Domestic Shorthair,,98146
September 26 2017,273798,Cathol,Cat,Domestic Shorthair,,98108
February 13 2018,964371,George,Cat,Domestic Shorthair,,98118
February 13 2018,964372,Jet,Cat,Domestic Shorthair,,98118
February 17 2018,S140000,Wilbur,Cat,Domestic Shorthair,,98103
April 17 2018,282510,Violet,Cat,Domestic Medium Hair,,98144
April 20 2018,214982,Faith,Cat,Domestic Shorthair,,98119
April 20 2018,214983,Tanner,Cat,Domestic Medium Hair,,98119
May 16 2018,S126432,Chico,Cat,Domestic Shorthair,Mix,98122
June 22 2018,964224,Hudson,Cat,Domestic Shorthair,,98118
July 10 2018,85322,Zen,Cat,Domestic Shorthair,Siamese,98105
August 13 2018,578368,Lucky,Cat,Oriental Shorthair,Mix,98106
August 30 2018,S121902,Buffy,Cat,Siamese,European Shorthair,98107
August 31 2018,S120217,Leeloo,Cat,Domestic Shorthair,,98102
August 31 2018,S120218,Zorg,Cat,Domestic Shorthair,,98102
September 08 2018,8000753,Digger,Cat,Domestic Longhair,,98133
September 12 2018,S103858,Piper,Cat,Domestic Shorthair,,98144
September 16 2018,8000965,Gamzee,Cat,Maine Coon,Mix,98103
September 16 2018,8000966,Nepeta,Cat,American Shorthair,Mix,98103
October 08 2018,273248,Cloudy,Cat,Domestic Shorthair,,98122
October 21 2018,715838,Little Bear,Cat,Domestic Shorthair,,98122
November 18 2018,118752,Princess,Cat,Domestic Shorthair,,98103
November 20 2018,8001722,Princess,Cat,Siamese,,98117
December 18 2018,8001785,Eloise,Cat,Pixie-Bob,Mix,98107
January 04 2019,897202,Magic,Cat,Domestic Shorthair,,98146
January 19 2019,22013,Ella,Cat,Domestic Shorthair,,98117
January 27 2019,8005097,Jolene,Cat,Maine Coon,Mix,98133
February 05 2019,S108856,Emily,Cat,Domestic Longhair,,98115
February 06 2019,S151272,Mo Kitty,Cat,Domestic Shorthair,Mix,98105
February 13 2019,962273,Veronica,Cat,Domestic Longhair,,98107
February 20 2019,282633,Mimi,Cat,Domestic Shorthair,,98121
February 22 2019,817178,Sadie,Cat,Domestic Shorthair,,98199
February 23 2019,S117292,Cosmos,Cat,Domestic Shorthair,Mix,98117
February 25 2019,8004767,Ozzie,Cat,Domestic Medium Hair,,98107
February 25 2019,8004766,Mr. Pickles,Cat,Domestic Shorthair,Mix,98107
February 25 2019,29135,Tabby,Cat,Domestic Shorthair,,98115
February 25 2019,S127322,Porsche,Cat,Domestic Medium Hair,,98119
February 25 2019,351232,Bob Cat,Cat,Domestic Shorthair,,98119
February 26 2019,574322,Nimbus,Cat,Domestic Shorthair,,98122
March 08 2019,577523,Buster,Cat,Domestic Medium Hair,,98108
March 09 2019,282739,Thalia,Cat,Domestic Shorthair,Mix,98133
March 12 2019,S104992,Laker,Cat,Domestic Shorthair,Mix,98105
March 14 2019,273516,Miley,Cat,Domestic Shorthair,,98117
March 19 2019,S135598,Shadow,Cat,Domestic Medium Hair,,98118
March 19 2019,8006546,Kiki,Cat,Domestic Longhair,Mix,98115
March 20 2019,825034,Jules,Cat,Domestic Longhair,,98115
March 20 2019,433330,Zoe,Cat,American Shorthair,,98107
March 21 2019,142321,Kita,Cat,Domestic Shorthair,,98117
March 24 2019,8006641,Oliver,Cat,Domestic Shorthair,Mix,98126
March 24 2019,8006682,Hootie,Cat,Domestic Shorthair,Mix,98136
March 25 2019,724549,Cadbury,Cat,Pixie-Bob,,98109
March 25 2019,S123294,Sofie,Cat,Domestic Shorthair,,98109
March 26 2019,273159,Trixie,Cat,Domestic Shorthair,,98199
March 26 2019,133718,Buddy,Cat,Domestic Shorthair,,98115
March 27 2019,77348,Mia,Cat,Domestic Shorthair,,98122
March 28 2019,208598,Vinney,Cat,Domestic Shorthair,,98177
March 30 2019,203362,Nikita,Cat,LaPerm,,98107
March 31 2019,429389,Mickey,Cat,Domestic Shorthair,,98119
April 01 2019,578332,Oliver,Cat,American Shorthair,,98136
April 01 2019,8006877,Ari,Cat,Domestic Shorthair,Mix,98116
April 01 2019,204671,FIGARO,Cat,Domestic Shorthair,,98125
April 01 2019,8006895,Greyball,Cat,Domestic Shorthair,Mix,98102
April 02 2019,8006914,Wendy,Cat,American Shorthair,Mix,98199
April 02 2019,8006924,Kiki,Cat,Domestic Shorthair,Mix,98126
April 03 2019,S147399,Jynx,Cat,Domestic Shorthair,Mix,98122
April 03 2019,S147398,Benny,Cat,Domestic Longhair,Mix,98122
April 03 2019,8006934,Sassy,Cat,Domestic Shorthair,Mix,98133
April 03 2019,S147568,Dina,Cat,Domestic Longhair,Mix,98115
April 03 2019,8006944,Leo,Cat,Maine Coon,Mix,98199
April 05 2019,203631,Mooch,Cat,Domestic Shorthair,,98199
April 05 2019,S148371,Toulouse,Cat,Domestic Longhair,Mix,98125
April 05 2019,8006968,Leia,Cat,Mix,Mix,98136
April 05 2019,8006969,Yoda,Cat,Mix,Mix,98136
April 05 2019,8006970,Raven,Cat,Mix,Mix,98136
April 05 2019,S129360,Minnie,Cat,Domestic Medium Hair,Mix,98119
April 05 2019,S129635,Izzy,Cat,Domestic Medium Hair,,98199
April 05 2019,S126685,Figaro,Cat,Domestic Shorthair,Mix,98199
April 06 2019,S130577,Monte,Cat,Domestic Shorthair,Mix,98107
April 06 2019,8006983,Churro,Cat,Domestic Shorthair,Mix,98109
April 06 2019,203679,Bowie,Cat,Domestic Shorthair,,98199
April 06 2019,85385,Mix,Cat,Domestic Shorthair,,98116
April 06 2019,203628,Boone,Cat,Norwegian Forest,Mix,98144
April 06 2019,211522,MJ,Cat,Domestic Longhair,,98115
April 06 2019,S150427,Gideon,Cat,Domestic Shorthair,Mix,98109
April 06 2019,S150428,Smokey,Cat,Domestic Shorthair,Mix,98121
April 06 2019,S150429,Mungulu,Cat,Domestic Shorthair,Mix,98102
April 06 2019,215108,Bubba,Cat,Domestic Medium Hair,Mix,98115
April 06 2019,142547,Gizmo,Cat,Domestic Medium Hair,Mix,98146
April 06 2019,142546,Freda,Cat,Domestic Medium Hair,Mix,98146
April 06 2019,208723,Ms. Ringtail,Cat,Domestic Shorthair,,98122
April 06 2019,S129666,Luna,Cat,Domestic Shorthair,,98106
April 06 2019,203616,Suki,Cat,Domestic Shorthair,,98107
April 06 2019,208573,Paykel,Cat,Siamese,Domestic Shorthair,98112
April 06 2019,142772,Max,Cat,Domestic Shorthair,,98103
April 06 2019,142773,Fred,Cat,Domestic Shorthair,,98103
April 06 2019,215297,Sir Niles,Cat,Domestic Longhair,,98109
April 06 2019,8007006,Sweetheart,Cat,Domestic Shorthair,Mix,98116
April 06 2019,203190,Cocoa,Cat,Domestic Medium Hair,Mix,98119
April 06 2019,198683,Chloe,Cat,Domestic Shorthair,,98107
April 06 2019,198682,Phoebe,Cat,Domestic Shorthair,,98107
April 06 2019,S130265,Mona,Cat,Persian,,98115
April 07 2019,S142781,La'Che,Cat,Domestic Shorthair,Mix,98102
April 07 2019,142760,Peach,Cat,Domestic Medium Hair,,98103
April 07 2019,S129612,Pippin,Cat,Domestic Shorthair,,98101
April 07 2019,202728,Lila,Cat,Korat,,98103
April 07 2019,203835,Lucy,Cat,Korat,,98103
April 07 2019,S147571,Sheba,Cat,Domestic Shorthair,Mix,98133
April 07 2019,199253,Sasha,Cat,Domestic Longhair,,98117
April 07 2019,199254,Henry,Cat,Domestic Medium Hair,,98117
April 07 2019,S129415,Tallulah,Cat,Mix,,98103
April 07 2019,S129414,Esmeralda,Cat,Mix,,98103
April 07 2019,S151359,Olive,Cat,Domestic Shorthair,Mix,98101
April 07 2019,8007045,Cornelius Archibald Taylor,Cat,Mix,Maine Coon,98107
April 07 2019,8007046,Calamity Anne Taylor,Cat,Mix,Maine Coon,98107
April 07 2019,8007049,Jet,Cat,Domestic Shorthair,,98119
April 08 2019,210765,Monkey,Cat,Domestic Shorthair,,98125
April 08 2019,208400,Sabella,Cat,Domestic Longhair,Maine Coon,98117
April 08 2019,208399,Bode,Cat,Domestic Medium Hair,Maine Coon,98117
April 08 2019,217900,Fe,Cat,Domestic Shorthair,,98146
April 08 2019,S129585,Aggie,Cat,Domestic Shorthair,Mix,98101
April 08 2019,208393,Molly,Cat,Domestic Longhair,,98107
April 08 2019,8007062,Galileo,Cat,Domestic Shorthair,Mix,98122
April 08 2019,S129555,Mookie Blalock,Cat,Bombay,,98107
April 08 2019,142594,Korra,Cat,Domestic Shorthair,,98144
April 08 2019,142853,Bates,Cat,Domestic Medium Hair,,98144
April 08 2019,284849,Milo,Cat,Domestic Shorthair,,98106
April 09 2019,203481,Princess Grace,Cat,Ragdoll,Manx,98133
April 09 2019,142579,Lily,Cat,Domestic Shorthair,,98122
April 09 2019,142598,Poly,Cat,Domestic Shorthair,,98112
April 09 2019,215286,Zasu,Cat,Domestic Medium Hair,,98125
April 09 2019,203765,Annie,Cat,Domestic Shorthair,,98107
April 09 2019,142577,Louise,Cat,Domestic Shorthair,,98126
April 09 2019,142576,Frederick,Cat,Siamese,,98126
April 09 2019,202513,Bella,Cat,Domestic Shorthair,Bengal,98199
April 09 2019,204920,Alice,Cat,Domestic Shorthair,,98115
April 09 2019,203669,Milo,Cat,Domestic Shorthair,,98116
April 09 2019,198645,Eli,Cat,Domestic Longhair,,98118
April 09 2019,8007101,Samantha,Cat,Siamese,Mix,98118
April 09 2019,204619,Zuma,Cat,Domestic Shorthair,,98199
April 09 2019,202623,Libby,Cat,Domestic Shorthair,,98107
April 09 2019,202622,Blenducci,Cat,Domestic Shorthair,,98107
April 09 2019,85391,Marrow,Cat,American Shorthair,,98105
April 09 2019,208592,Clementine,Cat,Domestic Shorthair,,98126
April 09 2019,8007107,Clyde,Cat,Domestic Longhair,Mix,98126
April 09 2019,204980,Joules,Cat,American Shorthair,,98125
April 09 2019,199461,Emmaline,Cat,Domestic Shorthair,,98178
April 09 2019,203577,Rudy,Cat,Domestic Shorthair,,98178
April 10 2019,217798,Mina,Cat,Domestic Medium Hair,,98115
April 10 2019,142748,Loki,Cat,Domestic Medium Hair,,98116
April 10 2019,142749,Moli,Cat,Domestic Shorthair,,98116
April 10 2019,8007117,Doon,Cat,American Shorthair,Mix,98117
April 10 2019,S151370,Nadia,Cat,Domestic Shorthair,Mix,98126
April 10 2019,8007123,Keke,Cat,Burmese,Siamese,98133
April 10 2019,S151371,Mitzee,Cat,Domestic Shorthair,Mix,98107
April 10 2019,S151372,Dixie,Cat,Domestic Longhair,Mix,98102
April 10 2019,284876,Remmy,Cat,Domestic Shorthair,,98146
April 10 2019,S129377,Shadow,Cat,Domestic Shorthair,Mix,98109
April 10 2019,208145,Abu Tu,Cat,Domestic Shorthair,,98104
April 10 2019,208188,Friday,Cat,Manx,,98112
April 10 2019,8007125,Alvin Jones (Vinny),Cat,American Shorthair,Mix,98103
April 10 2019,S130232,Cammie,Cat,Burmese,Bombay,98101
April 11 2019,214918,Caper,Cat,Domestic Shorthair,,98115
April 11 2019,211624,Piper,Cat,Balinese,,98106
